unitsRNN,learning_rate,batch_size,maxlen,result60,0.0001,30,10,1.1542458968319191
60,0.0001,30,30,3.129070774772555
60,0.0001,30,60,1.508323814089646
60,0.0001,30,90,1.9214249115158013
60,0.0001,30,120,1.2331314550608174
60,0.0001,30,240,0.9021247339245687
30,0.0001,30,10,1.929695006743441
30,0.0001,30,30,2.3824623483438114
30,0.0001,30,60,2.677955236464931
30,0.0001,30,90,1.8698919912451866
30,0.0001,30,120,4.326185295132312
30,0.0001,30,240,4.326185295132312
90,0.0001,30,10,2.7752042275967286
90,0.0001,30,30,3.697298362491306
90,0.0001,30,60,1.5706203327538137
90,0.0001,30,90,1.1113203221968968
90,0.0001,30,120,2.3909754050336027
90,0.0001,30,240,0.9518179425644584
120,0.0001,30,10,0.6488519896576428
120,0.0001,30,30,1.6440271036570813
120,0.0001,30,60,1.117746223558728
120,0.0001,30,90,1.2882406774783945
120,0.0001,30,120,1.449857488361911
120,0.0001,30,240,3.6481599809960557
240,0.0001,30,10,1.8855566334981488
240,0.0001,30,30,1.7493426239960186
240,0.0001,30,60,1.762214081281294
240,0.0001,30,90,3.020169143119697
240,0.0001,30,120,1.2880808423084624
240,0.0001,30,240,1.0665503360321
30,0.001,30,10,2.673671540856004
30,0.001,30,30,1.7041201545740834
30,0.001,30,60,1.7003820197542752
30,0.001,30,90,1.3392844118012996
30,0.001,30,120,1.0812329866459789
30,0.001,30,240,1.2479348709330873
60,0.001,30,10,1.3490316193788499
60,0.001,30,30,1.6296067468543347
60,0.001,30,60,1.962792768856289
60,0.001,30,90,1.1732392036302401
60,0.001,30,120,1.1391140964661333
60,0.001,30,240,0.5452832845236129
90,0.001,30,10,0.6379147421267218
90,0.001,30,30,2.240661896682549
90,0.001,30,60,0.7219962756890849
90,0.001,30,90,0.2918261093850556
90,0.001,30,120,0.4429718202847405
90,0.001,30,240,1.1577546053857226
120,0.001,30,10,0.8059535295590643
120,0.001,30,30,1.5420693828809593
120,0.001,30,60,1.0833195252740873
120,0.001,30,90,1.7709521159514015
120,0.001,30,120,1.2634686364926655
120,0.001,30,240,1.4096349550026677
240,0.001,30,10,0.353016102285297
240,0.001,30,30,2.3766941851673273
240,0.001,30,60,0.6442670778677043
240,0.001,30,90,1.395331214599776
240,0.001,30,120,0.957304244500593
240,0.001,30,240,0.2918261093850556
30,0.001,30,10,1.8005887417177475,GRU
30,0.001,30,30,0.8255644158767104,GRU
30,0.001,30,60,0.8265661635100211,GRU
30,0.001,30,90,1.3908203350242332,GRU
30,0.001,30,120,0.5746405734567297,GRU
30,0.001,30,240,1.0771387890155684,GRU
60,0.001,30,10,3.5954137135672926,GRU
60,0.001,30,30,1.7442455905180325,GRU
60,0.001,30,60,1.4967208533320844,GRU
60,0.001,30,90,2.758150060967095,GRU
60,0.001,30,120,1.6652079416698538,GRU
60,0.001,30,240,0.4121155010955293,GRU
90,0.001,30,10,1.4007523383619855,GRU
90,0.001,30,30,0.8961079820718846,GRU
90,0.001,30,60,0.7085147665097122,GRU
90,0.001,30,90,0.6436586994150846,GRU
90,0.001,30,120,1.1584899375508613,GRU
90,0.001,30,240,1.2337635304266337,GRU
120,0.001,30,10,2.5357743264823136,GRU
120,0.001,30,30,1.4390489356959286,GRU
120,0.001,30,60,1.0750516754614918,GRU
120,0.001,30,90,0.9025674042657403,GRU
120,0.001,30,120,1.8743283277222043,GRU
120,0.001,30,240,1.1599003848193266,GRU
240,0.001,30,10,4.326185295132312,GRU
240,0.001,30,30,0.2918261093850556,GRU
240,0.001,30,60,0.2918261093850556,GRU
240,0.001,30,90,4.326185295132312,GRU
240,0.001,30,120,2.111719844266321,GRU
240,0.001,30,240,4.326185295132312,GRU
30,0.0001,30,10,1.452727393249689,GRU
30,0.0001,30,30,1.1259582518239242,GRU
30,0.0001,30,60,2.1285227221721037,GRU
30,0.0001,30,90,2.219176604386639,GRU
30,0.0001,30,120,1.787668375068593,GRU
30,0.0001,30,240,1.5765304816608998,GRU
60,0.0001,30,10,1.5331117236609404,GRU
60,0.0001,30,30,1.2756409580647778,GRU
60,0.0001,30,60,1.139458457930925,GRU
60,0.0001,30,90,1.4237986241629528,GRU
60,0.0001,30,120,1.5856828687457665,GRU
60,0.0001,30,240,1.8666836288121575,GRU
90,0.0001,30,10,2.9483113467872335,GRU
90,0.0001,30,30,1.7330264976786052,GRU
90,0.0001,30,60,1.9510591520409222,GRU
90,0.0001,30,90,1.1508973781279768,GRU
90,0.0001,30,120,1.506125780446018,GRU
90,0.0001,30,240,1.6720428783761447,GRU
120,0.0001,30,10,1.5099986241556602,GRU
120,0.0001,30,30,1.5234543163472105,GRU
120,0.0001,30,60,1.8468803385908534,GRU
120,0.0001,30,90,1.8797167870693232,GRU
120,0.0001,30,120,1.3456302278566796,GRU
120,0.0001,30,240,1.3242387966134508,GRU
240,0.0001,30,10,1.6412346899267949,GRU
240,0.0001,30,30,1.992169086157563,GRU
240,0.0001,30,60,2.4548872562486204,GRU
240,0.0001,30,90,2.760792213685837,GRU
240,0.0001,30,120,2.6352974600641166,GRU
240,0.0001,30,240,0.6813520492470524,GRU
