unitsRNN,learning_rate,batch_size,maxlen,result
30,0.0001,30,10,1.3183675904766738,GRU
30,0.0001,30,30,4.326185295132312,GRU
30,0.0001,30,60,4.326185295132312,GRU
30,0.0001,30,90,4.326185295132312,GRU
30,0.0001,30,120,2.598568445621381,GRU
30,0.0001,30,240,4.326185295132312,GRU
60,0.0001,30,10,2.1474659154068334,GRU
60,0.0001,30,30,1.9042053670074233,GRU
60,0.0001,30,60,1.472178954344986,GRU
60,0.0001,30,90,4.326185295132312,GRU
60,0.0001,30,120,4.326185295132312,GRU
60,0.0001,30,240,0.5964168234872899,GRU
90,0.0001,30,10,3.109015059520587,GRU
90,0.0001,30,30,1.9311101475137797,GRU
90,0.0001,30,60,2.6453518258314292,GRU
90,0.0001,30,90,2.3233245949224535,GRU
90,0.0001,30,120,1.4369220615295633,GRU
90,0.0001,30,240,0.9342599505433611,GRU
120,0.0001,30,10,1.1165885985437138,GRU
120,0.0001,30,30,0.3113096558862502,GRU
120,0.0001,30,60,1.3076932743595726,GRU
120,0.0001,30,90,2.324090415789802,GRU
120,0.0001,30,120,1.160094177006392,GRU
120,0.0001,30,240,1.3458863215231092,GRU
240,0.0001,30,10,2.0101979656887288,GRU
240,0.0001,30,30,0.8858592844274659,GRU
240,0.0001,30,60,2.1816744343610184,GRU
240,0.0001,30,90,2.782707928173508,GRU
240,0.0001,30,120,0.8188231582439083,GRU
240,0.0001,30,240,1.1596063669021606,GRU
