date,time,open,high,low,close,volume,moving_60_ave,deviation_rate,rise_rate
2015.01.02,00:00,119.743,119.843,119.699,119.82,179,,,1
2015.01.02,01:00,119.82,119.967,119.803,119.884,874,,,1
2015.01.02,02:00,119.884,120.073,119.836,120.071,601,,,1
2015.01.02,03:00,120.071,120.421,120.048,120.278,1088,,,1
2015.01.02,04:00,120.278,120.427,120.26,120.359,666,,,1
2015.01.02,05:00,120.359,120.372,120.274,120.326,449,,,1
2015.01.02,06:00,120.326,120.476,120.323,120.439,477,,,1
2015.01.02,07:00,120.439,120.47,120.403,120.417,295,,,1
2015.01.02,08:00,120.417,120.444,120.334,120.404,431,,,1
2015.01.02,09:00,120.404,120.51,120.386,120.443,942,,,1
2015.01.02,10:00,120.443,120.482,120.339,120.344,1277,,,1
2015.01.02,11:00,120.344,120.43,120.309,120.404,1237,,,1
2015.01.02,12:00,120.404,120.48,120.376,120.438,685,,,1
2015.01.02,13:00,120.438,120.497,120.433,120.478,704,,,1
2015.01.02,14:00,120.478,120.659,120.478,120.628,858,,,1
2015.01.02,15:00,120.628,120.656,120.554,120.605,1071,,,1
2015.01.02,16:00,120.605,120.743,120.57,120.689,1588,,,0
2015.01.02,17:00,120.689,120.689,120.005,120.191,2767,,,0
2015.01.02,18:00,120.191,120.229,119.819,120.209,2247,,,0
2015.01.02,19:00,120.209,120.394,120.148,120.238,1150,,,0
2015.01.02,20:00,120.238,120.326,120.205,120.307,716,,,0
2015.01.02,21:00,120.307,120.394,120.302,120.336,862,,,0
2015.01.02,22:00,120.336,120.487,120.305,120.475,843,,,0
2015.01.02,23:00,120.475,120.538,120.44,120.451,434,,,0
2015.01.05,00:00,120.451,120.602,120.317,120.535,1008,,,0
2015.01.05,01:00,120.535,120.575,120.371,120.394,1244,,,0
2015.01.05,02:00,120.394,120.415,119.989,120.261,2427,,,0
2015.01.05,03:00,120.261,120.425,120.121,120.395,1692,,,0
2015.01.05,04:00,120.395,120.402,120.237,120.333,1049,,,0
2015.01.05,05:00,120.333,120.597,120.31,120.595,1294,,,0
2015.01.05,06:00,120.595,120.648,120.49,120.543,966,,,0
2015.01.05,07:00,120.543,120.608,120.354,120.403,1068,,,0
2015.01.05,08:00,120.403,120.514,120.357,120.386,953,,,0
2015.01.05,09:00,120.386,120.479,120.307,120.368,1403,,,0
2015.01.05,10:00,120.368,120.426,120.26,120.356,1849,,,0
2015.01.05,11:00,120.356,120.396,120.134,120.211,1659,,,0
2015.01.05,12:00,120.211,120.378,120.167,120.362,1510,,,0
2015.01.05,13:00,120.362,120.43,120.237,120.267,1495,,,0
2015.01.05,14:00,120.267,120.281,120.043,120.151,1687,,,0
2015.01.05,15:00,120.151,120.183,119.76,119.82,2302,,,0
2015.01.05,16:00,119.82,119.839,119.46,119.485,2992,,,0
2015.01.05,17:00,119.485,119.67,119.377,119.58,3108,,,0
2015.01.05,18:00,119.58,119.778,119.431,119.654,2465,,,0
2015.01.05,19:00,119.654,119.787,119.552,119.613,1454,,,0
2015.01.05,20:00,119.613,119.797,119.577,119.695,1210,,,0
2015.01.05,21:00,119.695,119.702,119.491,119.537,1287,,,0
2015.01.05,22:00,119.537,119.671,119.49,119.651,1244,,,0
2015.01.05,23:00,119.651,119.655,119.569,119.635,515,,,0
2015.01.06,00:00,119.635,119.635,119.255,119.29,876,,,0
2015.01.06,01:00,119.29,119.491,119.288,119.421,1002,,,0
2015.01.06,02:00,119.421,119.507,119.164,119.165,1487,,,0
2015.01.06,03:00,119.165,119.445,119.163,119.444,1249,,,0
2015.01.06,04:00,119.444,119.445,119.169,119.337,1349,,,0
2015.01.06,05:00,119.337,119.384,119.252,119.299,937,,,0
2015.01.06,06:00,119.299,119.299,119.095,119.237,1216,,,0
2015.01.06,07:00,119.237,119.241,118.883,118.957,1574,,,0
2015.01.06,08:00,118.957,119.041,118.658,118.792,1663,,,0
2015.01.06,09:00,118.792,119.171,118.789,119.169,1951,,,0
2015.01.06,10:00,119.169,119.24,118.756,118.88,2346,,,0
2015.01.06,11:00,118.88,119.012,118.704,118.84,2124,120.00491666666667,0.9902927588383531,0
2015.01.06,12:00,118.84,118.978,118.747,118.969,1599,119.99073333333332,0.9914848980004567,0
2015.01.06,13:00,118.969,119.345,118.965,119.317,1777,119.98128333333332,0.9944634420063019,0
2015.01.06,14:00,119.317,119.394,119.049,119.052,1882,119.96430000000001,0.9923952375831809,0
2015.01.06,15:00,119.052,119.13,118.904,118.998,2146,119.94296666666666,0.9921215333176407,0
2015.01.06,16:00,118.998,119.199,118.842,118.866,2299,119.91808333333331,0.9912266498588969,0
2015.01.06,17:00,118.866,119.07,118.602,118.71,3248,119.89114999999997,0.9901481468815674,0
